periodo,ano,trimestre,acessos,pib_milhoes_reais,pib_var_pct_real,acessos_var_pct,pib_var_pct_nominal
2007Q1,2007,1,6362032,631423,1.9,,
2007Q2,2007,2,6595199,670655,1.7,3.6649768501636037,6.213267492631713
2007Q3,2007,3,7451541,691846,1.0,12.98432389985502,3.1597468146811636
2007Q4,2007,4,8260540,726339,1.5,10.856801297879182,4.985647094873724
2008Q1,2008,1,8893766,712055,1.3,7.665673188435629,-1.9665748362679092
2008Q2,2008,2,9356215,769525,2.0,5.199698305532219,8.071005750960246
2008Q3,2008,3,10131690,812603,1.6,8.288340958389684,5.597998765472201
2008Q4,2008,4,10618609,815620,-3.8,4.80590108856469,0.37127601054882664
2009Q1,2009,1,10965618,756127,-1.4,3.2679327395895186,-7.294205634977069
2009Q2,2009,2,11760752,803577,1.8,7.251155384037644,6.275400825522692
2009Q3,2009,3,12075235,852843,2.3,2.674004179324596,6.130837492860053
2009Q4,2009,4,12491817,920492,2.6,3.449887310681743,7.932175089670657
2010Q1,2010,1,12903923,886397,2.1,3.2990076623760967,-3.703997427462702
2010Q2,2010,2,13803825,944145,1.3,6.973863684710446,6.514913746323603
2010Q3,2010,3,14466539,997935,0.9,4.800944665699536,5.697218117979763
2010Q4,2010,4,14956750,1057370,1.4,3.388585203413208,5.955798724365824
2011Q1,2011,1,15058564,1016531,1.3,0.6807227505975622,-3.8623187720476237
2011Q2,2011,2,15622713,1086712,1.0,3.7463665194104934,6.903970464255393
2011Q3,2011,3,16409889,1112334,-0.2,5.038663899157592,2.3577544004299122
2011Q4,2011,4,17021367,1160805,0.9,3.7262774903596307,4.357594032008372
2012Q1,2012,1,17717526,1129474,-1.4,4.089912402452756,-2.6990752107373783
2012Q2,2012,2,18448468,1183126,1.8,4.125530844430547,4.750175745524032
2012Q3,2012,3,19357797,1230449,1.7,4.929021748580964,3.999827575423076
2012Q4,2012,4,19828739,1271711,0.0,2.43282848766313,3.3534100153683744
2013Q1,2013,1,20602575,1241614,0.5,3.9025981430286683,-2.3666540589803775
2013Q2,2013,2,21225349,1322580,1.4,3.0227969076680905,6.521028274487883
2013Q3,2013,3,21783064,1354134,0.5,2.6275893037141618,2.3857914077031195
2013Q4,2013,4,22185749,1413291,0.2,1.8486150525013345,4.3686223076889075
2014Q1,2014,1,22795495,1385981,0.8,2.7483678824636426,-1.9323692006812498
2014Q2,2014,2,23251535,1422322,-1.5,2.0005707268036854,2.6220417163005827
2014Q3,2014,3,23707865,1462125,-0.1,1.9625801049264036,2.7984521085942626
2014Q4,2014,4,23968352,1508525,0.5,1.0987366428820033,3.1734632811832197
2015Q1,2015,1,24550596,1456659,-0.8,2.4292199981041707,-3.438192936809137
2015Q2,2015,2,24963226,1479970,-2.3,1.6807331276193826,1.600305905500199
2015Q3,2015,3,25456712,1508228,-1.6,1.9768518700267412,1.9093630276289408
2015Q4,2015,4,25490708,1550930,-0.8,0.13354434775394441,2.831269542801218
2016Q1,2016,1,25817676,1500299,-1.4,1.2826948549251815,-3.264557394595502
2016Q2,2016,2,26190009,1559050,0.3,1.4421631133646473,3.9159527534178284
2016Q3,2016,3,26597040,1577170,-0.5,1.554146086776842,1.162246239697251
2016Q4,2016,4,26759384,1632808,-0.1,0.6103837118716982,3.52771102671241
2017Q1,2017,1,27271198,1585673,1.0,1.9126523988743482,-2.8867447979186722
2017Q2,2017,2,27811271,1630730,0.8,1.980378713102371,2.8415064139958313
2017Q3,2017,3,28245082,1648635,0.2,1.5598388149898001,1.097974526745693
2017Q4,2017,4,28907867,1720441,0.5,2.3465501002970957,4.355481959317853
2018Q1,2018,1,29730689,1682083,0.6,2.846360127504388,-2.229544634195535
2018Q2,2018,2,30409751,1734099,-0.1,2.2840439385713562,3.0923563224882544
2018Q3,2018,3,30901221,1767856,1.0,1.6161592378707734,1.9466593314453107
2018Q4,2018,4,31233004,1820103,-0.2,1.0736889652353865,2.9553877691395725
2019Q1,2019,1,31816115,1757554,0.3,1.8669705930303815,-3.4365637549083727
2019Q2,2019,2,32381287,1826761,0.6,1.77637024507864,3.9376884010391633
2019Q3,2019,3,32935318,1880610,0.0,1.7109604074723839,2.947785725664165
2019Q4,2019,4,32906998,1924206,0.9,-0.08598672100266214,2.3181839934914628
2020Q1,2020,1,33216768,1868095,-2.3,0.9413499219831589,-2.9160599228980733
2020Q2,2020,2,34319021,1752724,-8.9,3.3183631833175298,-6.1758636471913935
2020Q3,2020,3,35643759,1929323,7.9,3.860069318410919,10.075687900662045
2020Q4,2020,4,36344670,2059455,3.8,1.9664340116316126,6.744956650597134
2021Q1,2021,1,37732481,2156670,0.9,3.818471869465312,4.720423607216473
2021Q2,2021,2,39345594,2203639,-0.7,4.275131020406531,2.1778482568033164
2021Q3,2021,3,40652832,2295851,0.1,3.322450793346765,4.184532947547215
2021Q4,2021,4,41657433,2355982,1.3,2.4711710121449793,2.6191159617936943
2022Q1,2022,1,42768917,2319528,0.7,2.668152884024333,-1.5472953528507416
2022Q2,2022,2,43179191,2517481,1.1,0.9592807786084512,8.53419316343671
2022Q3,2022,3,44174312,2601182,1.1,2.3046309505891482,3.3247917263327986
2022Q4,2022,4,45359471,2641485,0.4,2.6829144503710767,1.5494109985383586
2023Q1,2023,1,46505416,2581018,1.3,2.5263632373490497,-2.289129031586401
2023Q2,2023,2,47110710,2727580,0.8,1.3015559306038593,5.678457104909773
2023Q3,2023,3,47872655,2769445,0.1,1.6173498552664478,1.5348770705167158
2023Q4,2023,4,48616954,2865301,0.4,1.5547476946912608,3.46119890447365
2024Q1,2024,1,49372431,2764833,0.7,1.5539373363456788,-3.5063680918688833
2024Q2,2024,2,50482399,2934759,1.7,2.248153427972799,6.145976990292001
2024Q3,2024,3,52126735,3015936,0.9,3.2572461542487385,2.7660533624737083
2024Q4,2024,4,52545157,3063723,0.1,0.802701339341505,1.5844832251082241
2025Q1,2025,1,53338293,3024723,1.3,1.5094369210848502,-1.272961034662734
2025Q2,2025,2,54180163,3200345,0.3,1.5783594724338101,5.806217627200905
2025Q3,2025,3,54861114,3235708,0.1,1.2568271527717556,1.104974619923782
2025Q4,2025,4,55466489,3277790,0.3,1.1034682963236842,1.300549987823385
2026Q1,2026,1,56476669,3250979,1.1,1.8212438144408205,-0.8179596618453244
